10,999200
200,1002100
500,999300
800,1001800
2000,1001000
3000,998300
4000,1000300
5000,1000700
6000,999600
7000,999300
8000,2000700
9000,3001500
10000,1997500
11000,3002200
12000,2002300
13000,2004000
14000,1998000
15000,12442900
17000,1208700
18000,1006500
19000,1000200
20000,995000
